track_name,valence,energy,danceability,acousticness,instrumentalness,user_preference
Haunted (ASOT 874) - Avao Remix,0.0844,0.722,0.499,0.000977,0.515,5.72
An Ember In The Ashes (ASOT 874),0.1159999999999999,0.979,0.408,0.000108,0.981,4.67
Cast Iron (ASOT 874),0.152,0.802,0.246,9.14e-06,0.905,4.46
Hurt (ASOT 874),0.0398,0.975,0.428,7.840000000000001e-05,0.48,6.07
Sunbeam (ASOT 874),0.12,0.8809999999999999,0.365,1.7e-05,0.966,4.9
We Control The Sunlight (ASOT 874) - Dan Stone Remix,0.206,0.86,0.418,1.26e-05,0.465,5.7
On The Rocks (ASOT 874),0.33,0.989,0.387,0.00294,0.959,5.48
Missing (ASOT 874) - Jorn van Deynhoven Remix,0.081,0.948,0.456,1.89e-05,0.457,6.24
Always Be Around (ASOT 874) - Pinkque Remix,0.0373,0.816,0.392,0.0002089999999999,0.371,5.3
Exploration Of Space (ASOT 874),0.695,0.922,0.425,0.00704,0.0109,8.08
Burning Heart (ASOT 874),0.218,0.85,0.4479999999999999,1.39e-05,0.0228,6.98
Activate (ASOT 874) [Trending Track],0.5429999999999999,0.855,0.465,0.000648,0.254,7.26
Wayfarer (ASOT 874),0.75,0.8759999999999999,0.43,0.000151,0.317,7.41
EIFORYA (ASOT 874),0.493,0.314,0.254,0.0472,0.51,4.68
Skin (ASOT 874),0.165,0.449,0.423,0.19,0.43,4.92
My Own Hymn (ASOT 874) - ALPHA 9 Remix,0.156,0.58,0.296,0.000643,0.000176,5.85
Absolute Reality (ASOT 874) - ARTY Remix,0.0524,0.561,0.421,4.57e-05,0.8,4.3
The Night Is Ours (ASOT 874),0.243,0.5710000000000001,0.3989999999999999,0.00052,0.0594,6.19
Hydra (ASOT 874),0.0917,0.6679999999999999,0.408,0.00883,0.96,4.27
New York (ASOT 874),0.336,0.586,0.523,4.9000000000000005e-06,0.765,5.5
Only Good Mistake (ASOT 874),0.126,0.483,0.379,0.000997,0.0037,5.8
Shivers (ASOT 874) - ALPHA 9 Remix,0.192,0.789,0.44,0.000121,0.235,6.3
Sleepwalker (ASOT 874),0.134,0.506,0.21,4.270000000000001e-05,0.038,5.24
Must Be The Love (ASOT 874),0.311,0.86,0.485,4.2e-06,0.823,5.62
Higher Place (ASOT 874),0.66,0.631,0.397,0.371,0.514,5.93
Nobody Told Me (ASOT 874),0.493,0.86,0.461,0.000127,0.9,6.08
"èˆŸæ­Œ å¬°ãƒ˜é•·èª¿, ä½œå“ 60",0.0753,0.0749,0.318,0.993,0.871,1.22
"ã‚¹ã‚±ãƒ«ãƒ„ã‚© ç¬¬ 2ç•ª å¤‰ãƒ­é•·èª¿, ä½œå“ 31",0.139,0.126,0.412,0.99,0.91,1.59
"ç·´ç¿’æ›², ä½œå“ 25 ç¬¬ 1ç•ª: å¤‰ã‚¤é•·èª¿ ã‚¨ã‚ªãƒªã‚¢ãƒ³ãƒ»ãƒãƒ¼ãƒ—",0.0607,0.0697,0.184,0.985,0.846,0.72
"ç·´ç¿’æ›², ä½œå“ 25 ç¬¬ 9ç•ª: å¤‰ãƒˆé•·èª¿ è¶ã€…",0.715,0.238,0.535,0.987,0.883,2.85
YEAH!,0.386,0.665,0.523,0.000254,0.011,7.84
Running Water,0.171,0.4579999999999999,0.778,0.212,0.589,5.63
Need You,0.6709999999999999,0.637,0.748,0.166,0.0036,7.45
The timeless one,0.139,0.618,0.412,0.0441,0.294,5.59
Remembering,0.943,0.392,0.71,0.873,0.0004559999999999,6.15
The movie,0.176,0.2,0.524,0.00182,0.944,3.88
Hardway,0.295,0.752,0.944,0.0236,0.00126,7.96
Movin On,0.5589999999999999,0.8590000000000001,0.779,0.00162,0.0152,9.05
Fepa,0.8390000000000001,0.5920000000000001,0.606,0.371,0.898,5.72
Red Planet - Quiet Land Extended,0.6759999999999999,0.976,0.789,0.157,0.804,7.14
AC,0.825,0.495,0.747,0.0155,0.142,7.64
imaginary friends - ov,0.0458,0.178,0.0971,0.5720000000000001,0.934,1.48
Little Richard,0.596,0.929,0.484,0.0009119999999999,0.0968,7.77
Joy Wishes,0.105,0.461,0.173,0.3829999999999999,0.785,3.06
Taste - DSKO Remix,0.519,0.472,0.7559999999999999,0.0614,9.8e-06,6.96
OCEAN SURE,0.1969999999999999,0.449,0.362,0.153,0.000177,5.83
Camara Lenta,0.467,0.695,0.718,0.679,2.84e-06,6.66
Kanye's Bday Song,0.895,0.727,0.8290000000000001,0.0409999999999999,4.24e-05,8.43
Kids in Love (feat. The Night Game) - The Him Remix,0.181,0.723,0.532,0.104,9.28e-06,6.86
Hands,0.3279999999999999,0.419,0.616,0.5579999999999999,0.000348,5.62
Stay Down,0.765,0.494,0.732,0.616,0.000481,7.03
Back in Tokyo,0.6729999999999999,0.3379999999999999,0.7659999999999999,0.892,0.479,4.62
Throwback,0.487,0.8640000000000001,0.402,0.0224,6.97e-06,7.1
Together,0.04,0.482,0.526,8.66e-05,0.557,5.43
Curse of the I-5 Corridor,0.352,0.573,0.359,0.433,0.00139,5.68
El PrÃ³ximo Viernes,0.72,0.432,0.7829999999999999,0.696,1.05e-06,6.21
crimson,0.79,0.188,0.882,0.396,0.828,4.97
I Feel Love,0.733,0.395,0.7120000000000001,0.00456,0.166,7.42
On The Move,0.542,0.402,0.841,0.504,3.17e-06,6.53
Murtoz,0.564,0.695,0.8079999999999999,0.000381,0.93,6.28
Have It (feat. Flo Rida) - Mark Stout & Scott Svejda Radio Mix,0.6509999999999999,0.982,0.526,0.0559999999999999,0.00677,8.21
A Brighter Love - Edit,0.4,0.574,0.7929999999999999,0.057,0.0008359999999999,8.01
Date Cuenta,0.7490000000000001,0.722,0.597,0.53,0.0008039999999999,7.48
Pain & Pleasure,0.145,0.514,0.6809999999999999,0.191,0.0207,5.69
Love Is Bigger Than Anything In Its Way - HP. Hoeger Rusty Egan From The Heart Mix,0.863,0.607,0.795,0.0825,0.0164,8.55
Quiero Saber,0.599,0.818,0.695,0.00245,3.36e-06,7.72
